OrderID,Date,Store,Product,Category,Units,UnitPrice,Revenue,Channel
SO-200067,2025-08-21,Koramangala,Backpack,Accessories,4,1499,5996,Offline
SO-200068,2025-03-22,Indiranagar,Running Shoes,Footwear,2,2999,5998,Online
SO-200069,2025-09-13,Whitefield,Backpack,Accessories,4,1499,5996,Offline
SO-200070,2024-06-05,Indiranagar,Jeans,Apparel,3,1999,5997,Online
SO-200071,2024-01-10,Koramangala,Sneakers,Footwear,1,3999,3999,Online
SO-200072,2024-07-13,HSR Layout,Running Shoes,Footwear,3,2999,8997,Online
SO-200073,2025-08-22,HSR Layout,Running Shoes,Footwear,4,2999,11996,Offline
SO-200074,2024-06-10,Koramangala,Jeans,Apparel,1,1999,1999,Online
SO-200075,2024-09-13,Indiranagar,T-Shirt,Apparel,4,799,3196,Offline
SO-200076,2025-06-21,Koramangala,Jacket,Apparel,4,3499,13996,Online
SO-200077,2025-05-29,HSR Layout,Sneakers,Footwear,1,3999,3999,Offline
SO-200078,2024-06-27,HSR Layout,Jeans,Apparel,1,1999,1999,Offline
SO-200079,2025-03-28,HSR Layout,Running Shoes,Footwear,1,2999,2999,Offline
SO-200080,2025-09-22,HSR Layout,Sneakers,Footwear,1,3999,3999,Online
SO-200081,2025-01-10,HSR Layout,Watch,Accessories,1,5999,5999,Online
SO-200082,2024-01-26,Indiranagar,Sneakers,Footwear,4,3999,15996,Online
SO-200083,2025-05-27,Indiranagar,Watch,Accessories,4,5999,23996,Online
SO-200084,2024-10-19,HSR Layout,T-Shirt,Apparel,6,799,4794,Offline
SO-200085,2025-09-05,HSR Layout,Sneakers,Footwear,2,3999,7998,Offline
SO-200086,2025-01-05,Koramangala,Backpack,Accessories,2,1499,2998,Offline
SO-200087,2024-01-27,Koramangala,Watch,Accessories,2,5999,11998,Online
SO-200088,2025-01-14,Koramangala,Jeans,Apparel,3,1999,5997,Online
SO-200089,2025-09-20,Whitefield,Jeans,Apparel,4,1999,7996,Offline
SO-200090,2024-09-16,Whitefield,Jeans,Apparel,2,1999,3998,Offline
SO-200091,2025-05-03,Koramangala,Sneakers,Footwear,3,3999,11997,Offline
SO-200092,2024-02-06,JP Nagar,T-Shirt,Apparel,3,799,2397,Online
SO-200093,2024-05-22,Indiranagar,Sneakers,Footwear,2,3999,7998,Online
SO-200094,2024-01-04,JP Nagar,T-Shirt,Apparel,3,799,2397,Offline
SO-200095,2025-05-12,JP Nagar,T-Shirt,Apparel,2,799,1598,Offline
SO-200096,2024-02-26,HSR Layout,T-Shirt,Apparel,1,799,799,Offline
SO-200097,2024-12-07,Whitefield,Running Shoes,Footwear,5,2999,14995,Offline
SO-200098,2024-03-13,Koramangala,T-Shirt,Apparel,3,799,2397,Online
SO-200099,2025-04-14,Indiranagar,Sneakers,Footwear,1,3999,3999,Offline
SO-200100,2024-03-20,Indiranagar,T-Shirt,Apparel,3,799,2397,Offline
SO-200101,2024-09-28,JP Nagar,Running Shoes,Footwear,1,2999,2999,Online
SO-200102,2024-07-30,Whitefield,Sneakers,Footwear,2,3999,7998,Offline
SO-200103,2024-02-02,JP Nagar,T-Shirt,Apparel,3,799,2397,Online
SO-200104,2024-05-24,Koramangala,Sneakers,Footwear,3,3999,11997,Online
SO-200105,2024-03-02,JP Nagar,Backpack,Accessories,1,1499,1499,Offline
SO-200106,2024-08-26,Whitefield,Running Shoes,Footwear,4,2999,11996,Offline
SO-200107,2025-01-17,Koramangala,Watch,Accessories,4,5999,23996,Offline
SO-200108,2024-12-20,Whitefield,T-Shirt,Apparel,5,799,3995,Offline
SO-200109,2025-03-25,Koramangala,Jeans,Apparel,2,1999,3998,Offline
SO-200110,2024-08-14,HSR Layout,Cap,Accessories,1,499,499,Offline
SO-200111,2024-10-04,HSR Layout,Running Shoes,Footwear,5,2999,14995,Online
SO-200112,2025-04-12,Indiranagar,Watch,Accessories,2,5999,11998,Online
SO-200113,2024-06-05,JP Nagar,Jeans,Apparel,2,1999,3998,Online
SO-200114,2024-04-28,Koramangala,Jeans,Apparel,4,1999,7996,Offline
SO-200115,2024-08-01,Koramangala,Sneakers,Footwear,1,3999,3999,Offline
SO-200116,2025-08-04,Indiranagar,Sneakers,Footwear,1,3999,3999,Online
SO-200117,2025-06-16,Whitefield,Jeans,Apparel,1,1999,1999,Online
SO-200118,2025-01-01,Koramangala,Sneakers,Footwear,4,3999,15996,Offline
SO-200119,2025-02-17,Indiranagar,Running Shoes,Footwear,4,2999,11996,Online
SO-200120,2024-09-20,HSR Layout,Jeans,Apparel,4,1999,7996,Offline
SO-200121,2024-12-15,Whitefield,Running Shoes,Footwear,5,2999,14995,Offline
SO-200122,2024-10-27,HSR Layout,T-Shirt,Apparel,1,799,799,Offline
SO-200123,2024-05-21,HSR Layout,T-Shirt,Apparel,2,799,1598,Online
SO-200124,2025-03-29,Koramangala,Running Shoes,Footwear,2,2999,5998,Online
SO-200125,2025-03-11,Whitefield,Cap,Accessories,1,499,499,Online
SO-200126,2024-07-22,Whitefield,Cap,Accessories,1,499,499,Offline
SO-200127,2025-03-21,Koramangala,Jeans,Apparel,2,1999,3998,Online
SO-200128,2024-02-02,Indiranagar,Sneakers,Footwear,2,3999,7998,Online
SO-200129,2024-01-14,Whitefield,Watch,Accessories,2,5999,11998,Online
SO-200130,2025-01-19,HSR Layout,T-Shirt,Apparel,2,799,1598,Offline
SO-200131,2024-07-04,Whitefield,Cap,Accessories,3,499,1497,Online
SO-200132,2024-05-29,Koramangala,T-Shirt,Apparel,3,799,2397,Offline
SO-200133,2024-11-07,Whitefield,Sneakers,Footwear,5,3999,19995,Offline
SO-200134,2025-02-08,JP Nagar,Backpack,Accessories,1,1499,1499,Online
SO-200135,2025-09-19,Koramangala,Sneakers,Footwear,2,3999,7998,Offline
SO-200136,2025-01-21,Whitefield,Cap,Accessories,2,499,998,Offline
SO-200137,2024-08-04,Whitefield,Jeans,Apparel,2,1999,3998,Online
SO-200138,2024-05-12,Koramangala,Cap,Accessories,4,499,1996,Online
SO-200139,2024-04-04,Whitefield,Running Shoes,Footwear,2,2999,5998,Online
SO-200140,2024-03-17,Koramangala,T-Shirt,Apparel,3,799,2397,Online
SO-200141,2025-04-01,Whitefield,Jeans,Apparel,3,1999,5997,Offline
SO-200142,2025-07-21,HSR Layout,Watch,Accessories,1,5999,5999,Online
SO-200143,2024-09-20,HSR Layout,Jacket,Apparel,4,3499,13996,Offline
SO-200144,2024-12-23,HSR Layout,Sneakers,Footwear,4,3999,15996,Offline
SO-200145,2024-07-28,Koramangala,Jeans,Apparel,2,1999,3998,Online
SO-200146,2024-01-04,Koramangala,Backpack,Accessories,3,1499,4497,Online
SO-200147,2024-08-06,Koramangala,T-Shirt,Apparel,1,799,799,Offline
SO-200148,2025-08-09,Indiranagar,Running Shoes,Footwear,2,2999,5998,Offline
SO-200149,2024-06-21,Koramangala,Jeans,Apparel,2,1999,3998,Online
SO-200150,2025-02-26,HSR Layout,Jacket,Apparel,3,3499,10497,Online
SO-200151,2024-10-30,HSR Layout,T-Shirt,Apparel,1,799,799,Online
SO-200152,2025-03-19,Koramangala,Sneakers,Footwear,2,3999,7998,Offline
SO-200153,2025-04-20,Indiranagar,Cap,Accessories,4,499,1996,Online
SO-200154,2024-02-21,Whitefield,Jeans,Apparel,4,1999,7996,Online
SO-200155,2025-05-13,JP Nagar,Jacket,Apparel,2,3499,6998,Offline
SO-200156,2024-01-10,HSR Layout,Jeans,Apparel,1,1999,1999,Offline
SO-200157,2024-01-02,Whitefield,Jacket,Apparel,1,3499,3499,Online
SO-200158,2025-09-12,Whitefield,T-Shirt,Apparel,4,799,3196,Offline
SO-200159,2025-08-02,Indiranagar,Sneakers,Footwear,3,3999,11997,Online
SO-200160,2024-05-25,Whitefield,Cap,Accessories,2,499,998,Offline
SO-200161,2024-12-26,Koramangala,Jeans,Apparel,6,1999,11994,Online
SO-200162,2024-03-21,Indiranagar,T-Shirt,Apparel,2,799,1598,Offline
SO-200163,2025-06-11,JP Nagar,T-Shirt,Apparel,2,799,1598,Offline
SO-200164,2025-08-08,HSR Layout,Backpack,Accessories,3,1499,4497,Offline
SO-200165,2025-07-01,Indiranagar,Jacket,Apparel,4,3499,13996,Offline
SO-200166,2024-09-27,Indiranagar,Cap,Accessories,2,499,998,Offline
SO-200167,2024-06-18,Indiranagar,Jeans,Apparel,1,1999,1999,Online
SO-200168,2025-03-09,Indiranagar,Jacket,Apparel,3,3499,10497,Offline
SO-200169,2025-09-11,HSR Layout,Running Shoes,Footwear,1,2999,2999,Offline
SO-200170,2025-07-04,Koramangala,Running Shoes,Footwear,2,2999,5998,Offline
SO-200171,2024-08-30,Whitefield,Jeans,Apparel,4,1999,7996,Offline
SO-200172,2025-02-10,JP Nagar,Backpack,Accessories,3,1499,4497,Offline
SO-200173,2024-01-16,Whitefield,T-Shirt,Apparel,3,799,2397,Online
SO-200174,2024-09-23,Whitefield,Cap,Accessories,4,499,1996,Online
SO-200175,2024-08-24,HSR Layout,Jacket,Apparel,1,3499,3499,Online
SO-200176,2025-06-26,JP Nagar,Watch,Accessories,4,5999,23996,Online
SO-200177,2024-08-27,Koramangala,Jeans,Apparel,2,1999,3998,Online
SO-200178,2024-08-19,JP Nagar,Backpack,Accessories,2,1499,2998,Online
SO-200179,2025-09-11,Koramangala,Jeans,Apparel,1,1999,1999,Offline
SO-200180,2025-05-07,Indiranagar,Backpack,Accessories,2,1499,2998,Offline
SO-200181,2024-11-05,Indiranagar,T-Shirt,Apparel,4,799,3196,Online
SO-200182,2025-01-24,Indiranagar,Cap,Accessories,4,499,1996,Online
SO-200183,2024-12-17,Indiranagar,Watch,Accessories,3,5999,17997,Offline
SO-200184,2024-04-11,HSR Layout,Backpack,Accessories,1,1499,1499,Online
SO-200185,2024-12-11,Whitefield,Watch,Accessories,6,5999,35994,Online
SO-200186,2025-02-15,JP Nagar,Backpack,Accessories,1,1499,1499,Offline
SO-200187,2025-06-12,Koramangala,Running Shoes,Footwear,4,2999,11996,Online
SO-200188,2025-02-11,Whitefield,Running Shoes,Footwear,4,2999,11996,Offline
SO-200189,2025-09-24,Whitefield,Backpack,Accessories,1,1499,1499,Online
SO-200190,2025-08-11,Indiranagar,Cap,Accessories,3,499,1497,Offline
SO-200191,2025-07-26,Indiranagar,Sneakers,Footwear,4,3999,15996,Offline
SO-200192,2025-03-21,HSR Layout,Cap,Accessories,4,499,1996,Offline
SO-200193,2024-07-13,HSR Layout,Cap,Accessories,3,499,1497,Offline
SO-200194,2024-10-16,Koramangala,Sneakers,Footwear,4,3999,15996,Offline
SO-200195,2024-04-30,Whitefield,Running Shoes,Footwear,4,2999,11996,Online
SO-200196,2025-03-09,Whitefield,Backpack,Accessories,3,1499,4497,Online
SO-200197,2024-05-22,JP Nagar,Sneakers,Footwear,2,3999,7998,Offline
SO-200198,2025-01-15,JP Nagar,Running Shoes,Footwear,4,2999,11996,Offline
SO-200199,2025-02-13,Koramangala,Watch,Accessories,4,5999,23996,Offline
SO-200200,2024-05-28,JP Nagar,Jacket,Apparel,1,3499,3499,Online
SO-200201,2025-05-20,Whitefield,Watch,Accessories,2,5999,11998,Offline
SO-200202,2024-07-30,Indiranagar,Sneakers,Footwear,1,3999,3999,Offline
SO-200203,2024-12-07,Indiranagar,Sneakers,Footwear,6,3999,23994,Offline
SO-200204,2024-10-15,HSR Layout,Cap,Accessories,3,499,1497,Offline
SO-200205,2024-02-07,Whitefield,Backpack,Accessories,2,1499,2998,Offline
SO-200206,2024-03-04,Whitefield,T-Shirt,Apparel,3,799,2397,Offline
SO-200207,2024-01-21,Koramangala,Sneakers,Footwear,2,3999,7998,Offline
SO-200208,2025-08-26,HSR Layout,Jeans,Apparel,4,1999,7996,Offline
SO-200209,2024-03-23,Koramangala,T-Shirt,Apparel,3,799,2397,Online
SO-200210,2024-07-07,Indiranagar,Sneakers,Footwear,1,3999,3999,Offline
SO-200211,2025-08-05,HSR Layout,Cap,Accessories,1,499,499,Offline
SO-200212,2025-09-23,Koramangala,Running Shoes,Footwear,2,2999,5998,Offline
SO-200213,2024-03-30,Whitefield,Sneakers,Footwear,3,3999,11997,Offline
SO-200214,2024-09-13,Whitefield,Backpack,Accessories,1,1499,1499,Offline
SO-200215,2024-12-14,HSR Layout,Jacket,Apparel,4,3499,13996,Online
SO-200216,2025-05-03,JP Nagar,Running Shoes,Footwear,4,2999,11996,Online
SO-200217,2025-05-06,Koramangala,Jeans,Apparel,3,1999,5997,Online
SO-200218,2024-02-11,JP Nagar,Sneakers,Footwear,2,3999,7998,Online
SO-200219,2024-07-25,HSR Layout,Cap,Accessories,2,499,998,Offline
SO-200220,2024-05-27,HSR Layout,Sneakers,Footwear,2,3999,7998,Online
SO-200221,2024-10-13,Whitefield,Jeans,Apparel,4,1999,7996,Online
SO-200222,2025-09-06,HSR Layout,Cap,Accessories,2,499,998,Offline
SO-200223,2024-09-30,JP Nagar,Running Shoes,Footwear,2,2999,5998,Online
SO-200224,2025-02-21,JP Nagar,Jeans,Apparel,2,1999,3998,Online
SO-200225,2024-01-10,JP Nagar,Running Shoes,Footwear,1,2999,2999,Online
SO-200226,2025-05-20,Whitefield,T-Shirt,Apparel,4,799,3196,Offline
SO-200227,2025-06-15,Whitefield,Running Shoes,Footwear,4,2999,11996,Offline
SO-200228,2025-06-27,HSR Layout,Sneakers,Footwear,1,3999,3999,Offline
SO-200229,2025-05-30,HSR Layout,Watch,Accessories,4,5999,23996,Online
SO-200230,2024-10-18,Indiranagar,Cap,Accessories,2,499,998,Online
SO-200231,2024-07-09,HSR Layout,Backpack,Accessories,1,1499,1499,Online
SO-200232,2024-12-18,Whitefield,Jacket,Apparel,4,3499,13996,Online
SO-200233,2024-08-15,JP Nagar,Backpack,Accessories,2,1499,2998,Offline
SO-200234,2025-05-17,Whitefield,Jacket,Apparel,1,3499,3499,Online
SO-200235,2024-06-02,JP Nagar,T-Shirt,Apparel,4,799,3196,Offline
SO-200236,2025-04-29,HSR Layout,Jeans,Apparel,4,1999,7996,Online
SO-200237,2025-08-07,JP Nagar,T-Shirt,Apparel,2,799,1598,Online
SO-200238,2024-11-02,Koramangala,T-Shirt,Apparel,5,799,3995,Online
SO-200239,2025-02-01,Whitefield,Jacket,Apparel,3,3499,10497,Online
SO-200240,2024-06-21,Koramangala,Backpack,Accessories,1,1499,1499,Online
SO-200241,2025-03-16,JP Nagar,Jacket,Apparel,1,3499,3499,Offline
SO-200242,2024-07-27,Whitefield,Running Shoes,Footwear,1,2999,2999,Online
SO-200243,2025-05-17,JP Nagar,Running Shoes,Footwear,4,2999,11996,Online
SO-200244,2025-03-16,Indiranagar,T-Shirt,Apparel,2,799,1598,Offline
SO-200245,2024-02-29,Indiranagar,Backpack,Accessories,3,1499,4497,Offline
SO-200246,2025-09-30,HSR Layout,Sneakers,Footwear,1,3999,3999,Online
SO-200247,2025-02-09,JP Nagar,T-Shirt,Apparel,1,799,799,Online
SO-200248,2025-04-07,HSR Layout,Jeans,Apparel,4,1999,7996,Offline
SO-200249,2024-08-15,Indiranagar,Running Shoes,Footwear,1,2999,2999,Online
SO-200250,2025-04-15,HSR Layout,T-Shirt,Apparel,1,799,799,Offline
SO-200251,2024-12-24,JP Nagar,Backpack,Accessories,6,1499,8994,Offline
SO-200252,2024-02-07,Indiranagar,Jeans,Apparel,3,1999,5997,Offline
SO-200253,2024-04-08,Koramangala,Backpack,Accessories,3,1499,4497,Offline
SO-200254,2025-07-18,Koramangala,Running Shoes,Footwear,4,2999,11996,Offline
SO-200255,2024-05-25,HSR Layout,Jacket,Apparel,3,3499,10497,Online
SO-200256,2024-05-27,Koramangala,T-Shirt,Apparel,3,799,2397,Online
SO-200257,2024-05-12,JP Nagar,Jacket,Apparel,4,3499,13996,Offline
SO-200258,2024-09-22,JP Nagar,T-Shirt,Apparel,4,799,3196,Offline
SO-200259,2025-01-04,Whitefield,Running Shoes,Footwear,1,2999,2999,Online
SO-200260,2024-10-10,HSR Layout,Backpack,Accessories,1,1499,1499,Online
SO-200261,2024-11-28,HSR Layout,T-Shirt,Apparel,3,799,2397,Online
SO-200262,2025-03-21,Whitefield,Sneakers,Footwear,2,3999,7998,Offline
SO-200263,2024-10-10,Whitefield,Running Shoes,Footwear,3,2999,8997,Offline
SO-200264,2024-06-11,Koramangala,Jeans,Apparel,2,1999,3998,Offline
SO-200265,2025-01-10,Koramangala,T-Shirt,Apparel,4,799,3196,Offline
SO-200266,2024-11-04,Indiranagar,Watch,Accessories,2,5999,11998,Online
SO-200267,2024-04-11,Indiranagar,Jeans,Apparel,1,1999,1999,Online
SO-200268,2024-12-11,Koramangala,Watch,Accessories,2,5999,11998,Offline
SO-200269,2025-06-07,Indiranagar,T-Shirt,Apparel,1,799,799,Online
SO-200270,2025-03-24,HSR Layout,Watch,Accessories,1,5999,5999,Offline
SO-200271,2025-04-11,Whitefield,Jeans,Apparel,2,1999,3998,Online
SO-200272,2024-09-10,Indiranagar,Backpack,Accessories,4,1499,5996,Online
SO-200273,2024-07-28,Indiranagar,Running Shoes,Footwear,2,2999,5998,Online
SO-200274,2025-01-15,JP Nagar,Watch,Accessories,2,5999,11998,Online
SO-200275,2024-01-31,Indiranagar,T-Shirt,Apparel,1,799,799,Online
SO-200276,2025-04-02,HSR Layout,Backpack,Accessories,1,1499,1499,Online
SO-200277,2025-05-27,Indiranagar,T-Shirt,Apparel,4,799,3196,Online
SO-200278,2024-02-15,Koramangala,Running Shoes,Footwear,4,2999,11996,Offline
SO-200279,2024-01-10,HSR Layout,Cap,Accessories,2,499,998,Offline
SO-200280,2025-09-07,Indiranagar,Sneakers,Footwear,2,3999,7998,Offline
SO-200281,2024-11-21,JP Nagar,Jeans,Apparel,6,1999,11994,Online
SO-200282,2025-02-28,HSR Layout,Running Shoes,Footwear,4,2999,11996,Online
SO-200283,2024-04-22,HSR Layout,Jeans,Apparel,3,1999,5997,Online
SO-200284,2025-04-23,Whitefield,T-Shirt,Apparel,3,799,2397,Online
SO-200285,2024-01-29,Indiranagar,Running Shoes,Footwear,1,2999,2999,Offline
SO-200286,2025-05-11,JP Nagar,Running Shoes,Footwear,4,2999,11996,Offline
SO-200287,2025-02-12,Whitefield,Cap,Accessories,4,499,1996,Offline
SO-200288,2024-06-09,JP Nagar,Jeans,Apparel,2,1999,3998,Online
SO-200289,2025-08-28,JP Nagar,Sneakers,Footwear,1,3999,3999,Online
SO-200290,2024-08-14,Koramangala,T-Shirt,Apparel,1,799,799,Offline
SO-200291,2025-01-19,Koramangala,T-Shirt,Apparel,4,799,3196,Offline
SO-200292,2025-06-08,Indiranagar,Sneakers,Footwear,4,3999,15996,Online
SO-200293,2025-03-20,Koramangala,Running Shoes,Footwear,2,2999,5998,Offline
SO-200294,2024-04-15,Whitefield,Watch,Accessories,1,5999,5999,Offline
SO-200295,2024-03-24,Koramangala,T-Shirt,Apparel,4,799,3196,Offline
SO-200296,2024-06-23,Indiranagar,Running Shoes,Footwear,1,2999,2999,Offline
SO-200297,2024-04-12,HSR Layout,Running Shoes,Footwear,3,2999,8997,Offline
SO-200298,2024-08-22,Koramangala,Jeans,Apparel,2,1999,3998,Online
SO-200299,2024-10-15,JP Nagar,Backpack,Accessories,6,1499,8994,Offline
SO-200300,2025-09-14,HSR Layout,Jeans,Apparel,3,1999,5997,Online
SO-200301,2025-08-01,Koramangala,T-Shirt,Apparel,4,799,3196,Offline
SO-200302,2024-07-26,JP Nagar,Jacket,Apparel,3,3499,10497,Online
SO-200303,2024-06-10,HSR Layout,T-Shirt,Apparel,4,799,3196,Offline
SO-200304,2024-04-01,Indiranagar,Jeans,Apparel,4,1999,7996,Offline
SO-200305,2025-01-17,Indiranagar,T-Shirt,Apparel,1,799,799,Online
SO-200306,2024-01-24,Indiranagar,Backpack,Accessories,4,1499,5996,Online
SO-200307,2024-12-18,Whitefield,Jeans,Apparel,6,1999,11994,Online
SO-200308,2024-05-07,JP Nagar,Running Shoes,Footwear,3,2999,8997,Online
SO-200309,2025-02-11,HSR Layout,Cap,Accessories,2,499,998,Offline
SO-200310,2024-09-04,Indiranagar,Backpack,Accessories,1,1499,1499,Online
SO-200311,2025-09-23,Koramangala,Sneakers,Footwear,3,3999,11997,Online
SO-200312,2024-12-31,Whitefield,Cap,Accessories,1,499,499,Offline
SO-200313,2024-06-18,HSR Layout,Cap,Accessories,1,499,499,Online
SO-200314,2024-03-01,Whitefield,Cap,Accessories,2,499,998,Offline
SO-200315,2025-04-07,Indiranagar,Backpack,Accessories,1,1499,1499,Offline
SO-200316,2024-03-16,Whitefield,Running Shoes,Footwear,1,2999,2999,Offline
SO-200317,2025-05-01,Indiranagar,Running Shoes,Footwear,2,2999,5998,Offline
SO-200318,2025-08-01,HSR Layout,Jeans,Apparel,2,1999,3998,Offline
SO-200319,2024-09-30,Koramangala,Watch,Accessories,1,5999,5999,Online
SO-200320,2024-02-23,HSR Layout,Cap,Accessories,4,499,1996,Offline
SO-200321,2024-06-21,JP Nagar,Watch,Accessories,4,5999,23996,Online
SO-200322,2025-06-22,Indiranagar,T-Shirt,Apparel,4,799,3196,Offline
SO-200323,2025-05-31,HSR Layout,Cap,Accessories,4,499,1996,Offline
SO-200324,2024-05-29,JP Nagar,Jeans,Apparel,4,1999,7996,Online
SO-200325,2024-02-23,Indiranagar,Watch,Accessories,1,5999,5999,Online
SO-200326,2024-12-23,Koramangala,Jacket,Apparel,4,3499,13996,Offline
SO-200327,2024-10-04,Koramangala,Cap,Accessories,4,499,1996,Online
SO-200328,2024-12-18,HSR Layout,Backpack,Accessories,2,1499,2998,Online
SO-200329,2024-06-12,Koramangala,Running Shoes,Footwear,3,2999,8997,Offline
SO-200330,2024-04-30,JP Nagar,Running Shoes,Footwear,3,2999,8997,Offline
SO-200331,2024-05-04,Whitefield,Jeans,Apparel,4,1999,7996,Offline
SO-200332,2024-09-15,Indiranagar,Jacket,Apparel,1,3499,3499,Online
SO-200333,2024-08-11,Indiranagar,Running Shoes,Footwear,1,2999,2999,Online
SO-200334,2024-07-12,Indiranagar,T-Shirt,Apparel,4,799,3196,Online
SO-200335,2025-02-08,HSR Layout,Sneakers,Footwear,4,3999,15996,Online
SO-200336,2025-02-19,HSR Layout,Running Shoes,Footwear,2,2999,5998,Offline
